[CustomCards]
	[CW01—Inner Balance	common	{W}	Instant	normal
CW02—Sword Technique	common	{2}{W}	Enchantment — Saga 	transform double faced
UW10—Trigram Palm	uncommon	{1}{W}	Instant	normal
CW04—Orthodox Quickblade	common	{3}{W}{W}	Creature — Human Swordsman 	normal
CR10—Apex Hunter	common	{2}{R}	Enchantment — Aura 	normal
CW05—Sect Instructor	common	{W}	Creature — Human Cultivator 	normal
CW06—Talisman Warder	common	{2}{W}	Enchantment Creature — Human Ascetic 	normal
CW07—Pilgrimage	common	{1}{W}	Enchantment — Aura 	normal
CW08—Wandering Taoist	common	{3}{W}	Creature — Human Cultivator 	normal
CW09—Wandering Ascetic	common	{2}{W}	Creature — Human Cultivator 	normal
CW10—Qingchen Sect Warrior	common	{W}	Creature — Human Cultivator 	normal
CW11—Central Plains Huntsman	common	{1}{W}	Creature — Human Warrior 	normal
CW12—Pathfinder Monk	common	{W}	Creature — Human Monk 	normal
CW13—Sky's Retribution	common	{1}{W}	Instant	normal
CW14—Interloper's Verdict	common	{1}{W}	Sorcery	normal
CW15—Warwaker	common	{3}{W}	Creature — Human Citizen 	normal
CW16—Palace Malitia	common	{2}{W}	Creature — Human Warrior 	normal
UW13—Seal Release	uncommon	{W}	Artifact	normal
UW12—Signal Flare	uncommon	{4}{W}	Artifact	normal
CU01—Qi Refinement	common	{U}	Instant	normal
CU02—Illusion Technique	common	{2}{U}	Enchantment — Saga 	transform double faced
CU03—BlueJay Patrol	common	{U}	Creature — Human Cultivator 	normal
CU04—Pocket Dimension	common	{2}{U}	Instant	normal
CU05—Orthodoxy Banner	common	{2}{U}	Artifact	normal
UU12—Nascent Dissipator	uncommon	{2}{U}	Creature — Human Cultivator 	normal
CU07—Spiritual Absorption	common	{2}{U}	Instant	normal
CU08—Illusionist Practicioner	common	{3}{U}	Creature	normal
UU06—Blade Aura	uncommon	{U}	Enchantment — Aura 	normal
CU10—Premonition	common	{1}{U}	Instant	normal
